//编号	Name	ICON	掉落显示	蓝奇	卡西斯	菲莉尔	艾米	船标志	船体型号	类型	获得前缀几率	套装编号	精炼等级	安定值	唯一ID	交易	拾取	丢弃	可否删除	是否叠加	是否实例化	价格	体形	角色等级	职业	角色称号	角色名声	道具可装备位置	道具装备所替换位置	道具拾取进入位置判断	Str系数加成	Agi系数加成	Dex系数加成	Con系数加成	Sta系数加成	Luk系数加成	攻击频率系数加成	攻击距离系数加成	最小攻击力系数加成	最大攻击力系数加成	防御系数加成	Mxhp系数加成	Mxsp系数加成	flee系数加成	hit系数加成	crt系数加成	mf系数加成	hrec系数加成	srec系数加成	mspd系数加成	col系数加成	Str常数加成	Agi常数加成	Dex常数加成	Con常数加成	Sta常数加成	Luk常数加成	攻击频率常数加成	攻击距离常数加成	最小攻击力常数加成	最大攻击力常数加成	防御常数加成	Mxhp常数加成	Mxsp常数加成	flee常数加成	hit常数加成	crt常数加成	mf常数加成	hrec常数加成	srec常数加成	mspd常数加成	col常数加成	物理抵抗	道具左手发挥标识	道具能量	耐久	最大实例化洞数	船耐久恢复	可装炮数量	船员人数	人员标配	货舱容量	补给消耗	炮弹飞行速度	船移动速度	使用效果	挥舞特效	道具捆绑特效	道具捆绑特效dummy	道具显示特效(道具放在物品栏第一格的显示特效)	道具掉落模型特效	道具使用特效	描述（道具等级）	备注
1679	纯羊毛	n0107	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	40	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	这是编织课上少不了的重要道具，所以每年各城都需要很多纯羊毛。	
1680	粉红猪尾	n0108	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	14	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	卷曲可爱的粉红色猪尾巴，小女孩喜欢用它做钥匙坠。	
1681	眼泪	n0109	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	62	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	受到惊吓时会流出眼泪，而它的眼泪据说能让心仪的另一半爱上自己。	
1682	犬齿	n0110	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	1000	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	狼的犬齿一生要换7次。它总是摩擦岩石，把要脱落的牙蹭掉。	
1683	龟甲碎片	n0111	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	42	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	龟类的龟壳碎片。用它所煲的汤，美味又有营养。	
1684	坚硬龟甲	n0112	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	64	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	一个完整的龟壳。顽皮的孩子用它做雪车，在雪地上玩耍。	
1685	竹叶	n0113	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	18	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	熊猫的主食竹叶。但对于人类来说这种竹叶非常非常的难吃。	
1686	竹笋	n0114	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	66	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	嫩竹笋。飞熊猫最喜欢的食物，但一旦受到袭击飞熊猫会先扔出竹笋做武器。	
1687	袋鼠专用墨镜	n0115	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	68	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	袋鼠装酷用的墨镜，能起到防风和遮阳的双重功效。	
1688	獠牙	n0116	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	44	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	野猪的巨大獠牙。通常一只成年野猪能用它轻而易举地撞倒一棵树。	
1689	蟹钳	n0117	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	30	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	蟹类的蟹钳。烹煮后肉多味美、营养丰富，是难得的海鲜佳肴。	
1690	蜗牛触角	n0118	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	46	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	蜗牛的触角，对障碍物有灵敏的探测功能。	
1691	仙人绒球	n0119	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	2	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	仙人球上的一个小绒球，放于土中埋好，两周后即可重新生根发芽。	
1692	仙人掌的花	n0120	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	48	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	仙人掌上开出的粉白花朵。因为仙人掌开花后就会死去，所以见到此花的人很少。	
1693	蝎甲	n0121	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	100000	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	蝎子的甲。含有轻微的毒素，可用来入药治疗毒蚊虫的叮咬。	
1694	魔力树根	n0122	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	74	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	鬼怪树的魔力树根，具有超强的伸展性，能绝地三尺找到深埋的水源。	
1695	骆驼睫毛	n0123	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	30	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	奔奔驼的长睫毛。据说被部分爱美的女士用作假睫毛。	
1696	狼爪	n0124	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	76	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	饿狼的狼爪。勇士将它悬挂在腰间，用以证明自己的勇敢。	
1697	蜥蜴皮	n0125	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	100000	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	疙疙瘩瘩的蜥蜴皮。	
1698	风镜	n0126	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	78	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	沙匪的风镜。沙匪们横穿沙漠的必需品。	
1699	石英结晶	n0127	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	82	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	从岩石怪身上掉落的石英结晶，比从矿区挖到的石英纯度更高。	
1700	水袋	n0128	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	84	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	鼓鼓的水袋，足够让行者在沙漠中喝上3天。	
1701	勇者头巾	n0129	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	118	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	沙匪首领的三角巾，象征着首领的绝对领导权和无上的勇气。	
1702	皈依的心脏	n0130	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	120	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	犬神的心脏，据说有魅惑敌人使之倒戈的神秘力量，所以被称为“皈依的心脏”。	
1703	有符咒的布条	n0131	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	1000000	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	木尸法王周身包裹的布条，上面的咒文是引导死者进入极乐世界的古代咒语。	
1704	章鱼触手	n0132	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	34	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	章鱼的触手，烧烤烹炸皆可的美食原料。	
1705	章鱼墨汁	n0133	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	36	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	章鱼用来防御敌人和逃脱的黑色墨汁，非常难清洗，小心不要被它们喷到！	
1706	水灵石	n0134	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	124	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	水精灵的生命之源水灵石。	
1707	翠鸟羽毛	n0135	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	38	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	翠鸟长长的绿色羽毛，被誉为世界七大绝色之一。	
1708	蝙蝠翅膀	n0136	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	40	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	长着短短绒毛的蝙蝠翅膀，上面有肉眼看不到的细小钩刺。	
1709	鹿角	n0137	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	42	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	雄麋鹿又粗又硬的鹿角，贵族喜欢用它装饰书房来衬托自己的品位。	
1710	豪猪刺	n0138	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	10000	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	坚硬锋利的豪猪刺，能一击刺死一匹烈马。	
1711	血狼牙	n0139	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	1000000	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	在激烈的战斗中脱落的血狼牙，齿根部还残留着暴狼的血迹。	
1712	白熊皮毛	n0140	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	100000	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	厚实暖和的极地熊皮毛。为了取得这种皮毛，许多猎人非法捕杀极地熊。	
1713	多棱龟甲	n0141	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	102	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	世上最长寿的生物恐龟的多棱龟壳，其棱角随着年龄的增长逐渐增多。	
1714	小天使翅膀	n0142	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	106	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	纯洁的白色天使翅膀，是抵御黑暗力量的护身符。	
1715	贝壳	n0143	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	64	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	彩色条纹贝壳，造型奇特，因被艺术家当作盆景的器皿而颇受人们喜爱。	
1716	吸血牙	n0144	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	1000000	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	中空的吸血牙齿，吸血蝙蝠用它分泌麻醉剂，并吸走猎物的血液。	
1717	鼹鼠利爪	n0145	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	46	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	鼹鼠刨洞造窝的鼹鼠爪，其锋利的尖端能粉碎挡在前方的石块。	
1718	万圣南瓜头	n0146	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	108	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	南瓜将军的南瓜头，里面空空的什么都没有。	
1719	小雪团	n0147	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	48	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	圆滚滚的小雪团，这是企鹅们互相嬉戏时的玩具。	
1720	鱼骨头	n0148	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	30	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	啃了一半的鱼骨头，上面还有不知是谁的牙齿印。	
1721	雪人胸毛	n0149	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	68	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	雪人身上最柔软的就是胸前的这一团白色体毛，传说用它制成的毛毯有辟邪的作用	
1722	熊掌	n0150	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	70	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	一只肥厚得一看就想人拿来烹煮的熊掌。	
1723	雪巨人耳环	n0151	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	112	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	女性雪巨人的装饰耳环，是用纯水晶打磨而成的。	
1724	雪魔人装饰	n0152	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	114	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	古怪的装饰品，用途和象征意义均不明。	
1725	毒蘑菇	n0153	10130005	0	0	0	0	0	00	41	0	0	0	0	0	1	1	1	1	999	0	6	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	色泽艳丽的毒蘑菇，上面彩色的斑点是毒素的聚集地。	
